Terrane,Unit,Age_Ma,Rating,S_LONG,S_LAT,P_LONG,P_LAT,A95,Reference,Comment,Page
Baltica,Ragunda Formation,1506,B,16.1,63.3,166.6,51.6,7.1,Piper et al. (1979),Included Ragunda dykes + rapakivi pole group 2,pole_assessments/ragunda_formation_1506_33.html
Baltica,Ragunda dykes + rapakivi (group 2),1510,A,17,62.0,164.2,55.6,7.8,Salminen et al. (2021),,pole_assessments/ragunda_dykes_rapakivi_group_2_1510_34.html
Baltica,Åland dyke swarm,1578,A,20,60.0,192.9,24.1,3.3,Salminen et al. (2016),"Calculations checked, numbers changed slightly.",pole_assessments/aland_dyke_swarm_1578_35.html
Baltica,Satakunta dyke swarm -C,1578,A,21.5,62.0,188.1,29.3,6.6,Salminen et al. (2014),"Calculations checked, numbers changed slightly.",pole_assessments/satakunta_dyke_swarm_c_1578_36.html
Baltica,Hoting basic dykes,1614,B,16.2,64.2,146.7,21.9,13.7,Elming et al. (2009),,pole_assessments/hoting_basic_dykes_1614_37.html
Baltica,Häme + E-W Satakunta,1642,A,21--27,61.0,209.1,26.3,10.9,Salminen et al. (2021),,pole_assessments/hame_e_w_satakunta_1642_38.html
Baltica,Häme dyke swarm,1647,B,25.1,61.4,209.8,23.6,14.7,Salminen et al. (2017),,pole_assessments/hame_dyke_swarm_1647_39.html
Baltica,Turinge gabbro-diabase,1700,A,15,63.0,220.2,51.6,4.8,Elming et al. (2019),,pole_assessments/turinge_gabbro_diabase_1700_40.html
Baltica,MEAN Ropruchey sill,1751,B,35.3,61.4,217.0,39.1,8.6,Fedotova et al. (1999),,pole_assessments/mean_ropruchey_sill_1751_41.html
Baltica,Shoksha Sandstones,1775,B,33.8,61.3,221.1,39.7,4.0,Pisarevsky and Sokolov (2001),"Because of lack of age and field test, lowering the grade",pole_assessments/shoksha_sandstones_1775_42.html
Baltica,Småland intrusives -C,1777,A,15.7,57.1,182.7,45.7,8.0,Pisarevsky and Bylund (2010),,pole_assessments/smaland_intrusives_c_1777_43.html
Baltica,Hoting gabbro,1786,A,16.2,64.2,233.3,43.0,10.9,Elming et al. (2009),,pole_assessments/hoting_gabbro_1786_44.html
Baltica-Fennoscandia,"Lake Ladoga, Mean intr. & dykes, A",1800,B,30,61.3,229.1,50.9,7.2,Mertanen et al. (2006),Number of separate dykes is 4.,pole_assessments/lake_ladoga_mean_intr_dykes_a_1800_45.html
Baltica-Fennoscandia,Notträsk gabbro,1806,C+,21.83,65.83,216.2,43.5,6.1,Elming (1985),"Downgrading pole due to its low quality and lack of field test, not exactly same numbers than in Elming 1985, but within 3 degrees",pole_assessments/nottrask_gabbro_1806_46.html
Baltica-Fennoscandia,Eastern Murmansk sills,1860,B,38.2,68.5,234.7,54.7,5.2,Veselovskiy et al.. (2019),,pole_assessments/eastern_murmansk_sills_1860_47.html
Baltica-Fennoscandia,Keuruu dykes,1869,B,24.7,62.3,230.9,45.7,5.5,Klein et al. (2016),Numbers updated based on new calculations,pole_assessments/keuruu_dykes_1869_48.html
