Terrane;Unit;Age_Ma;Rating;S_LONG;S_LAT;P_LONG;P_LAT;A95;Reference;Comment
Baltica;Småland intrusives -C;1777;A;15.7;57.1;182.7;45.7;8.0;Pisarevsky and Bylund (2010);
Baltica;Hoting gabbro;1786;A;16.2;64.2;233.3;43.0;10.9;Elming et al. (2009);
Baltica-Fennoscandia;Lake Ladoga, Mean intr. & dykes, A;1800;B;30;61.3;229.1;50.9;7.2;Mertanen et al. (2006);Number of separate dykes is 4.
Baltica-Fennoscandia;Notträsk gabbro;1806;C+;21.83;65.83;216.2;43.5;6.1;Elming (1985);Downgrading pole due to its low quality and lack of field test, not exactly same numbers than in Elming 1985, but within 3 degrees
Baltica-Fennoscandia;Eastern Murmansk sills;1860;B;38.2;68.5;234.7;54.7;5.2;Veselovskiy et al.. (2019);
Baltica-Fennoscandia;Keuruu dykes;1869;B;24.7;62.3;230.9;45.7;5.5;Klein et al. (2016);Numbers updated based on new calculations
Baltica-Fennoscandia;Svecofennian gabbro intrusions;1885;B;25.08;63.9;237.5;46.9;3.5;Luoto et al. (2023);
Baltica-Karelia;Onega 1975 Ma Intrusions;1976;A;34;62.1;101.5;44.4;6.3;Lubnina et al. (2017);
Baltica-Karelia;Varpaisjärvi dolerites & basement;2295;B;27.8;63.4;262.3;-17.4;9.8;Mertanen et al. (2006);In article B=3 used, but there seems to be 11 dykes. Mean calculated with 11 sites)
Baltica-Karelia;Taivalkoski 2.3 Ga dyke;2339;C+;28.1;65.5;257.3;20.4;6.3;Salminen et al. (2014);
Baltica-Karelia;Kivakka intrusion;2443;B;30.6;65.0;253.7;-16.6;7.6;Lubnina et al. (2025);
Baltica-Karelia;Karelian Dykes;2446;B;30.7;66.0;278.7;-19.9;6.1;Mertanen et al. (1999);
Baltica-Karelia;Mean D Burakovskaya intrusion and remagnetized Avdeev/Shalskiy dykes;2449;B;36.1;61.9;68.5;14.3;9.3;"Sherbakova et al. (2017); Mertanen, S., Vuollo, J.I., Huhma, H., Arestova N.A., Kovalenko, A.";
Baltica-Karelia;Mean D' Shalskiy-Deda-Gorelyi-Glubokaya dyke;2511;B;36.1;61.9;221.9;26.2;4.9;"Sherbakova et al. (2017); Mertanen, S., Vuollo, J.I., Huhma, H., Arestova N.A., Kovalenko, A.";
Baltica-Kola;Tsuomasvarri Gabbro-Diorite Intrusion;1931;B;28.3;69.9;247.3;40.2;6.0;Mertanen and Pesonen (1994);
Baltica-Kola;Kuetsyarvi Formation;2060;B;29.5;69.5;300.8;24.7;16.4;Torsvik et al. (1995);
Baltica-Kola;Generalskaya Layered Intrusion;2505;B;31;69.4;292.7;-42.5;10.4;Arestova et al. (2002);
Baltica-Sarmatia;Volyn-Dniestr-Bug intrusions;1722;B;29.6;50.0;163.2;10.7;10.2;Elming et al. (2010);
Baltica-Sarmatia;Volyn-Dniestr-Bug intrusions;1755;A;28.6;50.6;169.1;26.5;3.9;Elming et al. (2010);
Baltica-Sarmatia;Volyn-Dniestr-Bug intrusions;2000;B;27.4;50.9;140.4;64.4;12.7;Elming et al. (2010);recalculated k
Baltica-Sarmatia;Volyn-Dniestr-Bug intrusions A-group;2061;B;29.8;49.6;182.9;15.7;13.7;Elming et al. (2010);
