Terrane;ROCKNAME;RESULT#;COMPONENT;TESTS;TILT;SLAT;SLONG;B;N;DEC;INC;abs(I);KD;ED95;PLAT;PLONG;DP;DM;A95;f;INCf;PLATf;PLONf;DPf;DMf;A95f;f;INCf;PLATf;PLONf;DPf;DMf;A95f;%REV;DEMAGCODE;40;24;10;16;Q2;Q3;Q4;Q5;Q6;Q7;Q(7);R1;R2;R3;R4;R5;R6;R7;R;Grade;nominal age;lomagage;himagage;REF/method;ROCKNAME;POLE AUTHORS;YEAR;JOURNAL;VOLUME;VPAGES;TITLE;Comment;;;;;;;;;;;;;;;;;;;;;
Baltica;Bakeevo formation;9537;;Rc, G+;;54.94;58.16;;48;316.5;36.3;36.3;13.3;5.9;42.3;299.1;5.3;5.3;5.3;0.6;50.8;51.5;308.8;5.4;8;6.5;0.6;50.8;51.5;308.8;5.4;8;6.5;mixed;4;1;1;1;1;1;1;1;1;1;1;7;1;1;1;G;0;1;1;6;A;565;560;570;570-560, Grazhdankin et al.;Bakeevo formation;Lubnina,N.V., Pisarevsky, S. A., Puchkov, V.N., Kozlov, V.I., Sergeeva, N.D.;2014;Int. J. Earth Sci.;103;1317-1334;;;;;;;;;;;;;;;;;;;;;;;
Baltica;Volhyn lavas;;A1,A2,A3,A3*,A4;R-;100;51.2;26;5;106;216.4;70.2;70.2;20;17.7;19.8;4.4;28.3;28.3;28.3;1;70.2;19.8;4.4;28.3;28.3;28.3;1;70.2;19.8;4.4;28.3;28.3;28.3;MIXED;4;1;1;1;0;0;1;0;1;1;0;4;1;0;1;0;1;0;0;3;B;571;561;580;"Ar-Ar; Elming et al. 2007";Volhyn lavas;Elming,S.-Å., Kravchenko,S.N., Layer,P., Rusakov,O.M., Glevasskaya,A.M., Mikhailova,N.P., Bachtadse,V.;2007;J. Geol. Soc. London;164;969-982;Palaeomagnetism and 40Ar/39Ar age determinations of the Ediacaran traps from the southwestern margin of the East European Craton, Ukraine: relevance to the Rodinia break-up;;;;;;;;;;;;;;;;;;;;;;
Baltica;Egersund dykes;9279;;C+;0;58.8;5.9;9;68;120;69;69;28;10;31.4;44.1;14.4;17;15.6;1;69;31.4;44.1;;;15.6;1;69;31.4;44.1;14.4;17;15.6;0or100;4;1;1;1;1;1;1;1;1;0;0;5;1;1;1;C;1;0;1;6;A;616;613;619;616±3, 616±3, Bingen+98;Egersund dykes;Walderhaug, H.J., Torsvik, T.H., Halvorsen, E.;2007;Geophys. J. Int.;168;935-948;The Egersund dykes (SW Norway): a robust Early Ediacaran (Vendian) palaeomagnetic pole from Baltica;;;;;;;;;;;;;;;;;;;;;;
Baltica;Katav Formation;9649;Mean of 3 sections in Table 3 (generals);F+, Ra;100;54.8;57.4;3;243;51.8;31.9;31.9;121;11.3;35.7;169.9;11.4;11.4;11.4;0.6;46.1;43.8;162.1;9.2;14.5;11.6;0.8;37.9;38.9;167.1;7.9;13.3;10.3;MIXED;4;0;1;1;1;1;1;1;1;1;0;5;0;1;1;F;1;1;1;6;B;800;700;900;"general stratigraphic constraint; 1030-800 Ma Pavlov and Gallet 2010";Katav Formation;Pavlov,V. Gallet, Y.;2010;Geochem. Geophys. Geosystems;11;doi:10.1029/2009GC002583;Variations in geomagnetic reversal frequency during the Earth’s middle age;;;;;;;;;;;;;;;;;;;;;;
Baltica;Hunnedalen Dykes;8299;;;0;58.9;7;6;69;294;-75;75;115;6;-41;222;10;11;15.6;1;-75;-41;222;10;11;15.6;1;-75;-41;222;10;11;15.6;0or100;4;1;1;1;1;1;1;0;1;0;1;5;0;0;1;0;1;0;1;3;C+;848;821;875;848 ± 27, 855 ± 59 Walderhaug et al 1999;Hunnedalen Dykes;Walderhaug,H.J., Torsvik,T.H., Eide,E.A., Sundvoll,B., Bingen,B.;1999;Earth Planet.Sci.Letters;169;71-83;Geochronology and palaeomagnetism of the Hunnendalen dykes, SW Norway: implications for the Sveconorwegian apparent polar wander loop;No age, no field test: Should be C+;;;;;;;;;;;;;;;;;;;;;
Baltica;Southwestern Telemark lithotectonic unit  ;10036;;;;58.5;7.4;9;48;303.6;-80.6;80.6;64.9;6.4;-46.2;209.4;;;12;1;-80.6;-46.2;209.4;;;12;1;-80.6;;;;;;0or100;4;;;;;;;;;;;;0;1;1;0;0;0;1;3;C+;900;;;"900 (cooling age/blocking temperature, Kulakov et al 2022); Ar-Ar: 957 ± 6 (hrn), 910 ± 5 (hrn), 898 ± 1 (bt) ,  854 ± 15 (bt)";SW Telemark  ;Kulakov, Slagstad, Ganerod, Torsvik;2022;Precambrian Res.;379;106786;Paleomagnetism and 40Ar/39Ar geochronology of Meso-Neoproterozoic;"900 Ma cooling age/blocking temperature for xenoliths (Kulakov et al 2022); Ar-Ar: 957 ± 6 (hrn), 910 ± 5 (hrn), 898 ± 1 (bt) ,  854 ± 15 (bt) ";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rocks from southwest Norway. Implications for magnetic remanence ages;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;and the paleogeography of Baltica in a Rodinia supercontinent context;;;;;;;;;;;;;;;;;;;;;;
Baltica;MEAN Rogaland igneous cx;9072+9280+10345+9570;unit-weighted mean of all sites from (Brown+McEnroe 04, Walderhaug+07, Brown et al. 2024);;0;58.5;6.1;117;632;306.7;-75.2;75.2;27.8;2.5;-38.9;213.1;;;4.2;1;-75.2;-38.9;213.1;;;4.2;1;-75.2;-38.9;213.1;;;4.2;0or100;4;;;;;;;;;;;;0;1;1;0;1;0;1;4;B;903;870;935;"931 ± 3, 916 +12/-14, 931 ± 7; Schärer et al. 1996, Bingen et al. 1998, Brown and McEnroe 2015";MEAN Rogaland igneous cx;"Brown & McEnroe 2004; Walderhaug et al. 2007; Brown + McEnroe, 2015; Brown et al. 2024";2004 , 2007 , 2015, 2024;Geophys. J. Int.;158/168/203/238;;;Includes Egersund-Ogna, Åna-Sira Bjekreim-Sokndal , Tellnes, Garsaknatt;;;;;;;;;;;;;;;;;;;;;
Baltica;Bratton and Algon Igneous Rocks;909;;;0;57.9;11.7;11;65;300.4;-23.8;23.8;89;4.9;5;249;3;5;3.9;1;-23.8;5;249;3;5;3.9;1;-23.8;5;249;3;5;3.9;0or100;3;1;1;1;1;1;1;0;0;0;1;4;1;0;1;0;0;0;1;3;B;916;905;927;916±11, 916±11, Scherstén et al. 2000;Bratton and Algon Igneous Rocks;Stearn,J.E.F., Piper,J.D.A.;1984;Precambrian Res.;23;201-246;Palaeomagnetism of the Sveconorwegian mobile belt of the Fennoscandian Shield;;;;;;;;;;;;;;;;;;;;;;
Baltica;Blekinge-Dalarna dykes, Group A;9905;;C+, Rb;0;59.5;13.6;12;116;128.8;39.6;39.6;46;6.5;-2.5;239.6;;;5.8;1;39.6;-2.5;239.6;;;5.8;1;39.6;;;;;;50;4;1;1;1;1;1;1;1;1;1;1;7;1;1;1;C;1;1;1;7;B;943;935;951;938 ± 4, 946 ± 1, 951 ± 5,  945.7 ± 1.2, 935 ± 3, Hellström et al., 2004, Söderlund et al 2005, Gong et al 2018;Blekinge-Dalarna dykes, Group B ;Gong, Z., Evans, D.A.D., Elming, S.-Å., Söderlund, U., Salminen M.J., ;2018;Precambrian Res.;317;14-32;Paleomagnetism, magnetic anisotropy and U-Pb baddeleyite geochronology of the early Neoproterozoic Blekinge-Dalarna dolerite dykes, Sweden;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Söderlund et al. 2005,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gong et al. 2018,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Baltica;Dykes of central and southern Sweden;9433;includes data from Göteborg dykes;C+;0;58.4;14.2;10;115;308.6;-38.9;38.9;48.5;7;-0.9;240.7;6.7;6.7;6.7;1;-38.9;-0.9;240.7;;;6.7;1;-38.9;-0.9;240.7;6.7;6.7;6.7;MIXED;4;1;1;1;1;1;1;1;1;1;1;7;1;1;1;C;1;1;1;7;A;945;935;955;"939 ± 3, 938 ± 4, 946 ± 1, 945.7 ± 1.2, 935 ± 3; Hellström et al 2004, Söderlund et al 2005, Elming et al 2014";Dykes of central and southern Sweden;Elming, S-Ã…., Pisarevsky,  S.A., Layer, P., Bylund, G.;2014;Precambrian Res.;244;192-206;A palaeomagnetic and 40Ar/39Ar study of mafic dykes in southern Sweden: A new Early Neoproterozoic key-pole for the Baltic Shield and implications for Sweconorwegian and Grenville loops;;;;;;;;;;;;;;;;;;;;;;
Baltica;Blekinge-Dalarna dykes, Group B ;9906;;;0;61.2;13.6;4;36;127.6;65.4;65.4;90.3;9.7;-27;230.4;;;14.9;1;65.4;-27;230.4;;;14.9;1;65.4;;;;;;25;4;1;1;1;1;0;1;0;1;0;0;3;1;0;1;0;1;0;1;4;C+;971;964;978;971 ± 7 Gong et al., 2018;Blekinge-Dalarna dykes, Group A ;Gong, Z., Evans, D.A.D., Elming, S.-Å., Söderlund, U., Salminen M.J., ;2018;Precambrian Res.;317;14-32;Paleomagnetism, magnetic anisotropy and U-Pb baddeleyite geochronology of the early Neoproterozoic Blekinge-Dalarna dolerite dykes, Sweden;;;;;;;;;;;;;;;;;;;;;;
Baltica;Central Telemark lithotectonic unit;10035;;Rb;;59.4;8.1;23;162;305.4;-57;57;37.4;5;-17.4;229.8;;;6.5;1;-57;-17.4;229.8;;;6.5;1;-57;;;;;;35;4;;;;;;;;;;;;0;1;1;0;0;1;0;3;C+;1000;;;"1000 Ma (cooling age, Kulakov et al 2022); Ar-Ar: 1023 ± 5 (hrn), 1008 ± 22 (hrn); 961 ± 13 (bt) : Kulakov et al 2022";central Telemark ;Kulakov, Slagstad, Ganerod, Torsvik;2022;Precambrian Res.;379;106786;Paleomagnetism and 40Ar/39Ar geochronology of Meso-Neoproterozoic;"1000 Ma cooling age (Kulakov et al 2022); Ar-Ar: 1023 ± 5 (hrn), 1008 ± 22 (hrn); 961 ± 13 (bt: Kulakov et al 2022";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rocks from southwest Norway. Implications for magnetic remanence ages;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;and the paleogeography of Baltica in a Rodinia supercontinent context;;;;;;;;;;;;;;;;;;;;;;
Baltica;Laanila-Ristijarvi Dykes;8275;;C+;0;68.7;28.1;3;54;355.5;-40;40;50.5;17.5;-2.1;212.2;13.8;13.8;13.8;1;-40;-2.1;212.2;13.8;13.8;13.8;1;-40;-2.1;212.2;13.8;13.8;13.8;0or100;4;0;1;1;0;0;1;1;1;0;0;3;0;0;1;C;1;0;1;4;B;1044;992;1095;"1042 ± 50, 1013 ± 32 Sm-Nd; Mertanen et al 1996";Laanila-Ristijarvi Dykes;Mertanen,S., Pesonen,L.J., Huhma,H.;1996;Geol.Soc.London Spec.Publ. (Precambrian Evolution etc);112;331-358;Palaeomagnetism and Sm-Nd ages of the Neoproterozoic dykes in Laanila and Kautokeno, northern Fennoscandia;;;;;;;;;;;;;;;;;;;;;;
Baltica;Bamble lithotectonic unit;10034;;Rc;;58.9;9.4;38;214;324.9;-51;51;20.9;5.2;-6.6;218.4;;;6.1;1;-51;-6.6;218.4;;;6.1;1;-51;;;;;;27;4;;;;;;;;;;;;0;1;1;0;0;1;0;3;C+;1090;;;"~1090 (cooling age, Kulakov et al 2022); Ar-Ar: 1101 ± 4 (hrn);  1041 ± 1 (bt); Salgstad et al 2020";Bamble;Kulakov, Slagstad, Ganerod, Torsvik;2022;Precambrian Res.;379;106786;Paleomagnetism and 40Ar/39Ar geochronology of Meso-Neoproterozoic;"~1090 cooling age (Kulakov et al 2022); Ar-Ar: 1101 ± 4 (hrn);  1041 ± 1 (bt); Slagstad et al 2020";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rocks from southwest Norway. Implications for magnetic remanence ages;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;and the paleogeography of Baltica in a Rodinia supercontinent context;;;;;;;;;;;;;;;;;;;;;;
Baltica;Salla Dyke (width 60-100 m);9382;;C+;0;66.8;28.8;15;191;44.7;75.1;75.1;66.2;4.7;70.6;111.6;8;8.2;8.1;1;75.1;70.6;111.6;8;8.2;8.1;1;75.1;70.6;111.6;8;8.2;8.1;0or100;4;1;1;1;1;1;1;1;1;0;0;5;1;1;1;C;1;0;1;6;B;1122;1119;1127;"1122±5 Ma; Lauerma 1995";Salla Dyke VGP;Salminen, J., Pesonen, L.J., Mertanen, S., Vuollo, J., ;2009;Geol. Soc. London Sp. Pub.;323;;Palaeomagnetism of the Salla Diabase Dyke, northeastern Finland and its implication to the Baltica - Laurentia entity during the Mesoproterozoic;;;;;;;;;;;;;;;;;;;;;;
Baltica;MEAN post-Jotnian intrusions;New ;"unit-weight of intrusions (data listed  in Elming+Mattson 2001; Salminen et al. 2023)";C+;0;62.6;17.4;56;988;40.5;-39.9;39.9;32.7;3.4;-2.2;160.5;;;3.2;1;-39.9;-2.2;160.5;;;3.2;1;-39.9;-2.2;160.5;;;3.2;0or100;4;1;1;1;1;1;1;1;1;0;1;6;1;1;1;C;1;0;1;6;A;1258;1246;1270;"1247.4 ± 2.2 Ma; Söderlund et al 2006";MEAN post-Jotnian intrusions;"Elming & Mattsson 2001 (+ several previous studies listed); Salminen et al. 2023";;"Prec. Res.; Prec. Res. ";108 and  384;"215-236; 106923";Post Jotnian basic Intrusions in the Fennoscandian Shield, and the break up of Baltica from Laurentia: a palaeomagnetic and AMS study / Timing the break-up of the Baltica and Laurentia connection in Nuna – Rapid plate motion oscillation and plate tectonics in the Mesoproterozoic ;Includes data from several previous studies. Listed in Elming and Mattson 2001 and vGP datasheet.;;;;;;;;;;;;;;;;;;;;;
